,usrname,PID,logging since/idle for/using,logging since/idle for/using
0,1pwnch,501,Fri17/3days/-,11:14/10/-zsh
1,_amavisd,83,x,x
2,_analyticsd,263,x,x
3,_appleevents,55,x,x
4,_applepay,260,x,x
5,_appowner,87,x,x
6,_appserver,79,x,x
7,_appstore,33,x,x
8,_ard,67,x,x
9,_assetcache,235,x,x
10,_astris,245,x,x
11,_atsserver,97,x,x
12,_avbdeviced,229,x,x
13,_calendar,93,x,x
14,_captiveagent,258,x,x
15,_ces,32,x,x
16,_clamav,82,x,x
17,_cmiodalassistants,262,x,x
18,_coreaudiod,202,x,x
19,_coremediaiod,236,x,x
20,_ctkd,259,x,x
21,_cvmsroot,212,x,x
22,_cvs,72,x,x
23,_cyrus,77,x,x
24,_datadetectors,257,x,x
25,_devdocs,59,x,x
26,_devicemgr,220,x,x
27,_displaypolicyd,244,x,x
28,_distnote,241,x,x
29,_dovecot,214,x,x
30,_dovenull,227,x,x
31,_dpaudio,215,x,x
32,_eppc,71,x,x
33,_findmydevice,254,x,x
34,_fpsd,265,x,x
35,_ftp,98,x,x
36,_gamecontrollerd,247,x,x
37,_geod,56,x,x
38,_hidd,261,x,x
39,_iconservices,240,x,x
40,_installassistant,25,x,x
41,_installer,96,x,x
42,_jabber,84,x,x
43,_kadmin_admin,218,x,x
44,_kadmin_changepw,219,x,x
45,_krb_anonymous,234,x,x
46,_krb_changepw,232,x,x
47,_krb_kadmin,231,x,x
48,_krb_kerberos,233,x,x
49,_krb_krbtgt,230,x,x
50,_krbfast,246,x,x
51,_krbtgt,217,x,x
52,_launchservicesd,239,x,x
53,_lda,211,x,x
54,_locationd,205,x,x
55,_lp,26,x,x
56,_mailman,78,x,x
57,_mbsetupuser,248,x,x
58,_mcxalr,54,x,x
59,_mdnsresponder,65,x,x
60,_mobileasset,253,x,x
61,_mysql,74,x,x
62,_netbios,222,x,x
63,_netstatistics,228,x,x
64,_networkd,24,x,x
65,_nsurlsessiond,242,x,x
66,_nsurlstoraged,243,x,x
67,_ondemand,249,x,x
68,_postfix,27,x,x
69,_postgres,216,x,x
70,_qtss,76,x,x
71,_reportmemoryexception,269,x,x
72,_sandbox,60,x,x
73,_screensaver,203,x,x
74,_scsd,31,x,x
75,_securityagent,92,x,x
76,_softwareupdate,200,x,x
77,_spotlight,89,x,x
78,_sshd,75,x,x
79,_svn,73,x,x
80,_taskgated,13,x,x
81,_teamsserver,94,x,x
82,_timed,266,x,x
83,_timezone,210,x,x
84,_tokend,91,x,x
85,_trustevaluationagent,208,x,x
86,_unknown,99,x,x
87,_update_sharing,95,x,x
88,_usbmuxd,213,x,x
89,_uucp,4,x,x
90,_warmd,224,x,x
91,_webauthserver,221,x,x
92,_windowserver,88,x,x
93,_www,70,x,x
94,_wwwproxy,252,x,x
95,_xserverdocs,251,x,x
96,daemon,1,x,x
97,Guest,201,x,x
98,nobody,2,x,x
99,root,0,x,x